id,name,description,school_level,grade_level,semester,chapter_id,chapter_name,chapter_main,chapter_sub,achievement_id,achievement_name,skill_id,section
78,제곱근,"어떤 수 $x$를 제곱하여 $a$가 될 때, 즉\n$x^2=a$\n일 때, $x$를 $a$의 제곱근이라 한다.\n(1) 양수의 제곱근은 양수와 음수 $2$개가 있고, 그 절댓값은 서로 같다.\n(2) 음수의 제곱근은 없다.\n(3) $0$의 제곱근은 $0$이다.",중등,중3,1학기,510,제곱근의 뜻,제곱근과 실수,제곱근과 실수,38,"제곱근의 뜻을 알고, 그 성질을 이해한다.",148,['수와 연산']
4697,제곱근의 표현,"(1) 제곱근은 기호 $\sqrt{\placeholder{}}$를 사용하여 나타내는데 이것을 근호라 하고, '제곱근' 또는 '루트(root)'라 읽는다. \n\n(2) 양수 a의 제곱근 중에서 양수인 것을 양의 제곱근, 음수인 것을 음의 제곱근이라 하고 다음과 같이 나타낸다.\n양의 제곱근 : $\sqrt[]{a}$\n음의 제곱근 : $-\sqrt[]{a}$",중등,중3,1학기,510,제곱근의 뜻,제곱근과 실수,제곱근과 실수,38,"제곱근의 뜻을 알고, 그 성질을 이해한다.",149,['수와 연산']
10174,$a$의 제곱근과 제곱근 $a$,"(1) a의 제곱근: 제곱하여 a가 되는 수, $\sqrt[]{a}$, $-\sqrt[]{a}$\n(2) 제곱근 a : a의 양의 제곱근, $\sqrt[]{a}$",중등,중3,1학기,510,제곱근의 뜻,제곱근과 실수,제곱근과 실수,38,"제곱근의 뜻을 알고, 그 성질을 이해한다.",151,['수와 연산']
4699,제곱근의 성질,"(1) 양수 $a$의 제곱근 $\sqrt{a}$와 $-\sqrt{a}$는 제곱하면 $a$가 된다.\n즉, $a>0$일 때, $(\sqrt{a})^2=a$,\n$(-\sqrt{a})^2=a$\n(2) 근호 안의 수가 어떤 수의 제곱이면 근호를 사용하지 않고 나타낼 수 있다.\n즉, $a>0$일 때, $\sqrt{a^2}=a$, $\sqrt{(-a)^2}=a$",중등,중3,1학기,511,제곱근의 성질,제곱근과 실수,제곱근과 실수,38,"제곱근의 뜻을 알고, 그 성질을 이해한다.",150,['수와 연산']
4709,$\sqrt{a^2}$의 성질,"모든 수 a에 대하여 $\sqrt{a^2}=\mleft|a\mright|=\begin{cases}{a\geq0,}\sqrt[]{a^2}=a \\ {a<0}$,$\sqrt[]{(-a)^2}=a\end{cases}$\n(모든 수 $a$에 대하여 $\sqrt{a^2}$는 \mleft|a\mright|와 같고,  $a$가 $0$보다 크거나 같을 때 $\sqrt{a^2}$은 a이고, $a$가 $0$보다 작을 때 $\sqrt{a^2}$은 $-a$이다.)",중등,중3,1학기,511,제곱근의 성질,제곱근과 실수,제곱근과 실수,38,"제곱근의 뜻을 알고, 그 성질을 이해한다.",152,['수와 연산']
4723,제곱근의 대소 관계,"$a>0$, $b>0$일 때, 다음이 성립한다.\n(1) $a<b$이면 $\sqrt{a}<\sqrt{b}$\n(2) $\sqrt{a}<\sqrt{b}$이면 $a<b$",중등,중3,1학기,511,제곱근의 성질,제곱근과 실수,제곱근과 실수,38,"제곱근의 뜻을 알고, 그 성질을 이해한다.",154,['수와 연산']
4209,제곱근표,(1) 제곱근표 \n: 1.00부터 99.9까지의 수의 양의 제곱근의 값을 반올림하여 소수점 아래 셋째 자리까지 나타낸 것\n\n(2) 제곱근표 읽는 방법 \n: 제곱근표에서 처음 두자릿수의 가로줄과 끝자릿수의 세로줄이 만나는 곳에 적힌 수를 읽는다.,중등,중3,1학기,511,제곱근의 성질,제곱근과 실수,제곱근과 실수,38,"제곱근의 뜻을 알고, 그 성질을 이해한다.",155,['수와 연산']
4720,제곱수,"(1) $1$, $4$, $9$, $16$, ... 과 같이 자연수의 제곱인 수를 제곱수라 한다.\n(2) 근호 안의 수가 제곱수이면 근호를 없애고 자연수로 나타낼 수 있다.\n즉, $\sqrt{(제곱수)}=\sqrt{(자연수)^2}=(자연수)$\n(3) 모든 자연수는 근호를 사용하여 $\sqrt{(제곱수)}$의 꼴로 나타낼 수 있다.",중등,중3,1학기,511,제곱근의 성질,제곱근과 실수,제곱근과 실수,38,"제곱근의 뜻을 알고, 그 성질을 이해한다.",153,['수와 연산']
10741,실수와 수직선,"(1) 수직선은 유리수와 무리수, 즉 실수에 대응하는 점들로 완전히 메울 수 있다.\n(2) 모든 실수는 수직선 위의 점에 하나씩 대응하고, 거꾸로 수직선 위의 모든 점에는 실수가 하나씩 대응한다.",중등,중3,1학기,512,무리수와 실수,제곱근과 실수,제곱근과 실수,40,실수의 대소 관계를 판단 할 수 있다.,162,['수와 연산']
5141,무리수를 수직선 위에 나타내기,직각삼각형의 빗변의 길이를 이용하여 무리수를 수직선 위에 나타낼 수 있다.,중등,중3,1학기,512,무리수와 실수,제곱근과 실수,제곱근과 실수,39,무리수의 개념을 이해한다.,160,['수와 연산']
5921,무리수를 정수 부분과 소수 부분으로 나누는 방법,무리수는 순환소수가 아닌 무한소수로 나타내어지는 수이므로 정수 부분과 소수 부분으로 나눌 수 있다. 이때 소수 부분은 정확한 값을 알기 어려우므로 다음과 같이 무리수에서 정수 부분을 뺀 식으로 나타낸다.\n$(무리수)=(정수 부분)+(소수 부분)$ 이면 $(소수 부분)=(무리수)-(정수 부분)$,중등,중3,1학기,512,무리수와 실수,제곱근과 실수,제곱근과 실수,39,무리수의 개념을 이해한다.,161,['수와 연산']
4724,무리수,"(1) 무리수: 유리수가 아닌 수, 즉 순환소수가 아닌 무한소수로 나타내어지는 수\n(2) 소수의 분류\n소수는 유한소수와 무한소수로 분류되고, 무한소수는 순환소수와 순환소수가 아닌 무한소수로 분류할 수 있다. 여기서 유한소수와 순환소수는 유리수이고, 순환소수가 아닌 무한소수를 무리수라고 한다.",중등,중3,1학기,512,무리수와 실수,제곱근과 실수,제곱근과 실수,39,무리수의 개념을 이해한다.,158,['수와 연산']
