concept_id,title,url,provider,display_order
6784,무료 강의 — 방정식의 원리 (EBSMath 중1 일차방정식),https://www.ebsmath.co.kr/resource/rscView?cate=221200&cate2=221210&cate3=221212&rscTpDscd=RTP10&grdCd=MGRD01&sno=28239&type=S,EBSMath,1
6784,"단원 자료 모음 — 문자와 식 (EBSMath 중1, 165건)",https://www.ebsmath.co.kr/resource/rscList?grdCd=MGRD01&cate=221200&cate2=221210,EBSMath,2
6784,개념 강의·연습문제 — 문자와 식 (칸아카데미 중1),https://ko.khanacademy.org/math/kor-7th/xcd937f1d1ded37c0:1-2,칸아카데미,3
6795,무료 강의 — 방정식의 원리 (EBSMath 중1 일차방정식),https://www.ebsmath.co.kr/resource/rscView?cate=221200&cate2=221210&cate3=221212&rscTpDscd=RTP10&grdCd=MGRD01&sno=28239&type=S,EBSMath,1
6795,활용 문제 — 가격에 관한 일차방정식 (EBSMath 중1),https://ebsmath.co.kr/resource/rscView?cate=221200&cate2=221210&cate3=221212&rscTpDscd=RTP10&grdCd=MGRD01&sno=25789&type=S,EBSMath,2
6795,개념 강의·연습문제 — 문자와 식 (칸아카데미 중1),https://ko.khanacademy.org/math/kor-7th/xcd937f1d1ded37c0:1-2,칸아카데미,3
5788,무료 강의 — 문자의 사용과 식의 계산 (EBSMath 중1),https://www.ebsmath.co.kr/resource/rscView?cate=221200&cate2=221210&cate3=221211&rscTpDscd=RTP10&grdCd=MGRD01&sno=28456&type=S,EBSMath,1
5788,읽을거리 — 문자와 식은 언제부터 생겨났을까? (EBSMath),https://www.ebsmath.co.kr/resource/rscView?cate=221200&cate2=221210&cate3=221211&rscTpDscd=RTP10&grdCd=MGRD01&sno=20859&type=S,EBSMath,2
5788,개념 강의·연습문제 — 문자와 식 (칸아카데미 중1),https://ko.khanacademy.org/math/kor-7th/xcd937f1d1ded37c0:1-2,칸아카데미,3
1256,개념 강의 — 왜 곱셈기호를 사용하지 않나요? (칸아카데미 중1),https://ko.khanacademy.org/math/kor-7th/xcd937f1d1ded37c0:1-2,칸아카데미,1
1256,무료 강의 — 문자의 사용과 식의 계산 (EBSMath 중1),https://www.ebsmath.co.kr/resource/rscView?cate=221200&cate2=221210&cate3=221211&rscTpDscd=RTP10&grdCd=MGRD01&sno=28456&type=S,EBSMath,2
1256,"단원 자료 모음 — 문자와 식 (EBSMath 중1, 165건)",https://www.ebsmath.co.kr/resource/rscList?grdCd=MGRD01&cate=221200&cate2=221210,EBSMath,3
9162,"개념 강의 — 항, 인수, 계수 / 대수식 (칸아카데미 중1)",https://ko.khanacademy.org/math/kor-7th/xcd937f1d1ded37c0:1-2,칸아카데미,1
9162,무료 강의 — 문자의 사용과 식의 계산 (EBSMath 중1),https://www.ebsmath.co.kr/resource/rscView?cate=221200&cate2=221210&cate3=221211&rscTpDscd=RTP10&grdCd=MGRD01&sno=28456&type=S,EBSMath,2
5762,개념 강의 — 수와 연산 / 정수와 유리수 (칸아카데미 중1),https://ko.khanacademy.org/math/kor-7th/xcd937f1d1ded37c0:1-1,칸아카데미,1
5762,연습문제 — 거듭제곱의 거듭제곱 (칸아카데미),https://ko.khanacademy.org/math/cc-eighth-grade-math/cc-8th-numbers-operations/cc-8th-exponent-properties/e/powers-of-powers,칸아카데미,2
375,개념 강의 — 미분가능성과 연속성 (칸아카데미),https://ko.khanacademy.org/math/differential-calculus/dc-diff-intro/dc-differentiability/v/differentiability,칸아카데미,1
375,무료 강의 — 함수의 연속의 뜻을 이해하자 (EBSMath 미적분I),https://www.ebsmath.co.kr/resource/rscView?cate=235100&cate2=235120&cate3=235122&rscTpDscd=RTP14&grdCd=HGRD15&sno=29167&type=S,EBSMath,2
375,개념 강의 — 도함수: 정의와 기본 규칙 (칸아카데미),https://ko.khanacademy.org/math/differential-calculus/dc-diff-intro,칸아카데미,3
9195,개념 강의 — 도함수: 정의와 기본 규칙 (칸아카데미),https://ko.khanacademy.org/math/differential-calculus/dc-diff-intro,칸아카데미,1
9195,개념 강의 — 미분가능성과 연속성 (칸아카데미),https://ko.khanacademy.org/math/differential-calculus/dc-diff-intro/dc-differentiability/v/differentiability,칸아카데미,2
9195,EBSMath 에서 '도함수' 검색 (19건),https://www.ebsmath.co.kr/searchNew?query=%EB%8F%84%ED%95%A8%EC%88%98,EBSMath,3
9150,무료 강의 — 함수의 연속의 뜻을 이해하자 (EBSMath 미적분I),https://www.ebsmath.co.kr/resource/rscView?cate=235100&cate2=235120&cate3=235122&rscTpDscd=RTP14&grdCd=HGRD15&sno=29167&type=S,EBSMath,1
9150,EBSMath 에서 '구간' 검색 (13건),https://www.ebsmath.co.kr/searchNew?query=%EA%B5%AC%EA%B0%84,EBSMath,2
190,개념 강의 — 고등(수학1) (칸아카데미),https://ko.khanacademy.org/math/kor-12th,칸아카데미,1
190,EBSMath 에서 '함수' 검색,https://www.ebsmath.co.kr/searchNew?query=%ED%95%A8%EC%88%98,EBSMath,2
